Time [s],P [Pa]
0.0745,0.071347
0.074583,0.030469
0.074667,-0.049948
0.07475,-0.054331
0.074833,0.02377
0.074917,0.07333
0.075,0.024922
0.075083,-0.052374
0.075167,-0.049156
0.07525,0.029387
0.075333,0.071884
0.075417,0.017801
0.0755,-0.056708
0.075583,-0.0451
0.075667,0.035964
0.07575,0.070145
0.075833,0.0081049
0.075917,-0.061632
0.076,-0.039237
0.076083,0.042603
0.076167,0.067411
0.07625,-0.0002578
0.076333,-0.064279
0.076417,-0.0329
0.0765,0.048463
0.076583,0.063838
0.076667,-0.009545
0.07675,-0.067671
0.076833,-0.026211
0.076917,0.055592
0.077,0.060755
0.077083,-0.017981
0.077167,-0.067247
0.07725,-0.016842
0.077333,0.059743
0.077417,0.054411
0.0775,-0.025598
0.077583,-0.066736
0.077667,-0.0095414
0.07775,0.063731
0.077833,0.048843
0.077917,-0.033499
0.078,-0.065439
0.078083,-0.0010446
0.078167,0.065971
0.07825,0.039719
0.078333,-0.043125
0.078417,-0.064891
0.0785,0.0046316
0.078583,0.065183
0.078667,0.030813
0.07875,-0.050748
0.078833,-0.063553
0.078917,0.01029
0.079,0.065006
0.079083,0.022669
0.079167,-0.05809
0.07925,-0.061783
0.079333,0.016463
0.079417,0.064199
0.0795,0.014207
0.079583,-0.063011
0.079667,-0.057592
0.07975,0.022375
0.079833,0.063655
0.079917,0.0084848
0.08,-0.065245
0.080083,-0.05248
0.080167,0.027411
0.08025,0.061048
0.080333,0.00062698
0.080417,-0.069374
0.0805,-0.048218
0.080583,0.033111
0.080667,0.058272
0.08075,-0.0086974
0.080833,-0.073316
0.080917,-0.042673
0.081,0.038121
0.081083,0.054261
0.081167,-0.016812
0.08125,-0.07509
0.081333,-0.036729
0.081417,0.042528
0.0815,0.050029
0.081583,-0.024427
0.081667,-0.075395
0.08175,-0.029712
0.081833,0.046659
0.081917,0.045594
0.082,-0.030725
0.082083,-0.072952
0.082167,-0.019695
0.08225,0.052968
0.082333,0.042461
0.082417,-0.035378
0.0825,-0.068336
0.082583,-0.0093582
0.082667,0.05702
